Dates,Total Consumption,was_missing,DayOfWeek,DayOfMonth,Month,Quarter,DayOfYear,WeekOfYear,Year,DayOfWeek_sin,DayOfWeek_cos,DayOfYear_sin,DayOfYear_cos,Month_sin,Month_cos,lag_1,lag_7,lag_30,lag_365,rolling_mean_7,rolling_std_7,rolling_mean_30,rolling_std_30
2014-07-30,2893.15,1,2,30,7,3,211,31,2014,0.9749279121818236,-0.22252093395631434,-0.46896519100763184,-0.8832166493127127,-0.4999999999999997,-0.8660254037844388,2892.4,2897.75,3114.9999999999995,2820.790217391304,2900.7642857142855,22.11942423692199,2980.0216666666665,96.93790465651539
2014-07-31,2893.9,0,3,31,7,3,212,31,2014,0.43388373911755823,-0.900968867902419,-0.48408852163897587,-0.8750190302029955,-0.4999999999999997,-0.8660254037844388,2893.15,2885.6000000000004,3102.1,2820.693478260869,2901.9500000000003,21.381202803744582,2973.0816666666665,95.33618870312073
2014-08-01,2937.7000000000003,0,4,1,8,3,213,31,2014,-0.433883739117558,-0.9009688679024191,-0.4990686026885319,-0.8665624788845385,-0.8660254037844384,-0.5000000000000004,2893.9,2895.6,3130.5,2820.5967391304343,2907.964285714286,24.924798800385588,2966.6549999999997,90.74651066722137
2014-08-02,2909.5000000000005,0,5,2,8,3,214,31,2014,-0.9749279121818236,-0.2225209339563146,-0.5139010013093103,-0.8578494977869301,-0.8660254037844384,-0.5000000000000004,2937.7000000000003,2919.7,3080.3,2820.4999999999995,2906.507142857143,24.41735087619279,2960.961666666667,88.70564135088323
2014-08-03,2920.6000000000004,0,6,3,8,3,215,31,2014,-0.7818314824680299,0.6234898018587334,-0.5285813283559292,-0.8488826652214553,-0.8660254037844384,-0.5000000000000004,2909.5000000000005,2941.4000000000005,3087.4999999999995,2831.399999999999,2903.535714285714,20.398257978880736,2955.3983333333335,85.67795101559179
2014-08-04,2834.9,0,0,4,8,3,216,32,2014,0.0,1.0,-0.5431052396834317,-0.8396646346181327,-0.8660254037844384,-0.5000000000000004,2920.6000000000004,2877.4999999999995,3078.1000000000013,2855.7,2897.4500000000003,32.32719443443014,2947.2916666666665,85.17188208045357
2014-08-05,2881.1000000000004,0,1,5,8,3,217,32,2014,0.7818314824680298,0.6234898018587336,-0.5574684374327892,-0.8301981337405212,-0.8660254037844384,-0.5000000000000004,2834.9,2892.4,3012.3,2850.4,2895.835714285714,32.89848925466825,2942.9183333333335,85.08711710433421
2014-08-06,2833.3,0,2,6,8,3,218,32,2014,0.9749279121818236,-0.22252093395631434,-0.5716666713027052,-0.8204859638785327,-0.8660254037844384,-0.5000000000000004,2881.1000000000004,2893.15,3066.6,2824.3,2887.2857142857147,40.590739032929676,2935.141666666667,84.04831029023676
2014-08-07,2879.600000000001,0,3,7,8,3,219,32,2014,0.43388373911755823,-0.900968867902419,-0.5856957398073508,-0.8105309990194823,-0.8660254037844384,-0.5000000000000004,2833.3,2893.9,3117.5,2736.6,2885.2428571428572,40.56220971722487,2927.2116666666666,77.19281800983227
2014-08-08,2909.8,0,4,8,8,3,220,32,2014,-0.433883739117558,-0.9009688679024191,-0.5995514915196489,-0.8003361849976323,-0.8660254037844384,-0.5000000000000004,2879.600000000001,2937.7000000000003,3106.1000000000004,2684.1,2881.257142857143,35.618013099330355,2920.6683333333335,69.43637062874313
2014-08-09,2917.2000000000003,0,5,9,8,3,221,32,2014,-0.9749279121818236,-0.2225209339563146,-0.6132298262997502,-0.7899045386224707,-0.8660254037844384,-0.5000000000000004,2909.8,2909.5000000000005,3084.9,2769.0,2882.3571428571427,36.7369413144873,2915.078333333333,62.1242979330824
2014-08-10,2841.3500000000004,1,6,10,8,3,222,32,2014,-0.7818314824680299,0.6234898018587334,-0.6267266965083301,-0.7792391467859886,-0.8660254037844384,-0.5000000000000004,2917.2000000000003,2920.6000000000004,3063.6,2737.4,2871.0357142857147,35.165000524752166,2907.67,56.82826609695595
2014-08-11,2765.5000000000005,0,0,11,8,3,223,33,2014,0.0,1.0,-0.6400381082043503,-0.7683431655492202,-0.8660254037844384,-0.5000000000000004,2841.3500000000004,2834.9,3032.4,2768.4,2861.121428571429,52.54110975499672,2898.773333333333,57.51591044244377
2014-08-12,2837.7,0,1,12,8,3,224,33,2014,0.7818314824680298,0.6234898018587336,-0.65316012232693,-0.7572198192083127,-0.8660254037844384,-0.5000000000000004,2765.5000000000005,2881.1000000000004,2967.7,2762.0000000000005,2854.921428571429,52.35097784142321,2894.44,57.03902233529029
2014-08-13,2905.0,1,2,13,8,3,225,33,2014,0.9749279121818236,-0.22252093395631434,-0.666088855860977,-0.7458723993404063,-0.8660254037844384,-0.5000000000000004,2837.7,2833.3,3024.8,2761.0999999999995,2865.164285714286,54.39012405978732,2890.4466666666663,51.524829858566726
2014-08-14,2972.2999999999997,0,3,14,8,3,226,33,2014,0.43388373911755823,-0.900968867902419,-0.6788204829862355,-0.734304263829602,-0.8660254037844384,-0.5000000000000004,2905.0,2879.600000000001,3019.3999999999987,2747.7,2878.4071428571433,68.05851911267744,2888.8766666666666,48.06120152424677
2014-08-15,2991.2,0,4,15,8,3,227,33,2014,-0.433883739117558,-0.9009688679024191,-0.6913512362094071,-0.722518835873311,-0.8660254037844384,-0.5000000000000004,2972.2999999999997,2909.8,2986.6499999999996,2707.6000000000004,2890.035714285714,80.18927980247379,2889.0283333333336,48.386462703826
2014-08-16,2977.625,1,5,16,8,3,228,33,2014,-0.9749279121818236,-0.2225209339563146,-0.7036774074790128,-0.7105196029692745,-0.8660254037844384,-0.5000000000000004,2991.2,2917.2000000000003,2953.9,2778.5,2898.6678571428574,86.59706585951781,2889.8191666666667,49.6604043702111
2014-08-17,2964.05,1,6,17,8,3,229,33,2014,-0.7818314824680299,0.6234898018587334,-0.7157953492826642,-0.6983101158835584,-0.8660254037844384,-0.5000000000000004,2977.625,2841.3500000000004,2869.0999999999995,2780.8000000000006,2916.1964285714284,85.4722596672208,2892.984166666667,51.29325192700659
2014-08-18,2950.475000000001,1,0,18,8,3,230,34,2014,0.0,1.0,-0.7277014757264236,-0.6858939875998223,-0.8660254037844384,-0.5000000000000004,2964.05,2765.5000000000005,2860.8,2762.2000000000007,2942.621428571429,53.86818098489382,2895.973333333334,51.96160881102631
2014-08-19,2936.900000000001,0,1,19,8,3,231,34,2014,0.7818314824680298,0.6234898018587336,-0.7393922635959241,-0.673274892250183,-0.8660254037844384,-0.5000000000000004,2950.475000000001,2837.7,2821.7,2728.8,2956.7928571428574,28.951420209469816,2899.8133333333335,50.520173818425455
2014-08-20,3004.7000000000003,0,2,20,8,3,232,34,2014,0.9749279121818236,-0.22252093395631434,-0.7508642533989489,-0.6604565640279754,-0.8660254037844384,-0.5000000000000004,2936.900000000001,2905.0,2821.7,2772.1000000000004,2971.035714285714,23.172144992945462,2905.9133333333334,51.795210441824494
2014-08-21,3020.9999999999995,0,3,21,8,3,233,34,2014,0.43388373911755823,-0.900968867902419,-0.7621140503891487,-0.6474427960827475,-0.8660254037844384,-0.5000000000000004,3004.7000000000003,2972.2999999999997,2909.9,2808.3,2977.9928571428572,29.93801483307822,2909.616666666667,55.89928687370477
2014-08-22,3086.100000000001,0,4,22,8,3,234,34,2014,-0.433883739117558,-0.9009688679024191,-0.7731383255706026,-0.6342374393978054,-0.8660254037844384,-0.5000000000000004,3020.9999999999995,2991.2,2897.75,2757.4999999999995,2991.55,50.99650519074467,2915.895,64.44463087237065
2014-08-23,3103.5,0,5,23,8,3,235,34,2014,-0.9749279121818236,-0.2225209339563146,-0.7839338166829201,-0.620844401650647,-0.8660254037844384,-0.5000000000000004,3086.100000000001,2977.625,2885.6000000000004,2761.5999999999995,3009.5321428571433,65.42076109421306,2923.1583333333338,72.66725574474043
2014-08-24,3086.1,1,6,24,8,3,236,34,2014,-0.7818314824680299,0.6234898018587334,-0.7944973291665992,-0.6072676460566135,-0.8660254037844384,-0.5000000000000004,3103.5,2964.05,2895.6,2765.7,3026.967857142857,67.50955289547075,2929.508333333333,78.28247297264497
2014-08-25,3068.7000000000003,1,0,25,8,3,237,35,2014,0.0,1.0,-0.8048257371083452,-0.593511190196115,-0.8660254037844384,-0.5000000000000004,3086.1,2950.475000000001,2919.7,2769.7999999999997,3043.8571428571427,59.49638244308062,2934.4750000000004,82.26414667147806
2014-08-26,3051.3,0,1,26,8,3,238,35,2014,0.7818314824680298,0.6234898018587336,-0.8149159841660791,-0.5795791048257612,-0.8660254037844384,-0.5000000000000004,3068.7000000000003,2936.900000000001,2941.4000000000005,2778.0,3060.2,36.48026863941762,2938.1383333333333,84.98515685140389
2014-08-27,3076.8000000000006,0,2,27,8,3,239,35,2014,0.9749279121818236,-0.22252093395631434,-0.8247650844733614,-0.5654755126737576,-0.8660254037844384,-0.5000000000000004,3051.3,3004.7000000000003,2877.4999999999995,2782.1,3070.5000000000005,27.195404023552197,2944.7816666666668,87.8238565630629
2014-08-28,3019.9,0,3,28,8,3,240,35,2014,0.43388373911755823,-0.900968867902419,-0.8343701235229537,-0.5512045872199277,-0.8660254037844384,-0.5000000000000004,3076.8000000000006,3020.9999999999995,2892.4,2786.2000000000003,3070.342857142857,27.530217164909615,2949.031666666667,88.2853745974742
2014-08-29,2964.4,0,4,29,8,3,241,35,2014,-0.433883739117558,-0.9009688679024191,-0.8437282590292712,-0.5367705514607103,-0.8660254037844384,-0.5000000000000004,3019.9,3086.100000000001,2893.15,2790.3,3052.957142857143,47.27091625739315,2951.406666666667,87.686573485001
2014-08-30,2913.3,0,5,30,8,3,242,35,2014,-0.9749279121818236,-0.2225209339563146,-0.8528367217694595,-0.522177676659508,-0.8660254037844384,-0.5000000000000004,2964.4,3103.5,2893.9,2793.9,3025.785714285714,64.79296331579242,2952.0533333333337,87.31861513360612
2014-08-31,2935.999999999999,0,6,31,8,3,243,35,2014,-0.7818314824680299,0.6234898018587334,-0.8616928164028521,-0.5074302810827518,-0.8660254037844384,-0.5000000000000004,2913.3,3086.1,2937.7000000000003,2801.0999999999995,3004.342857142857,66.32477810350686,2951.996666666667,87.32880216046628
2014-09-01,2796.6000000000004,0,0,1,9,3,244,36,2014,0.0,1.0,-0.8702939222685674,-0.49253272872205434,-1.0,-1.8369701987210297e-16,2935.999999999999,3068.7000000000003,2909.5000000000005,2707.3499999999995,2965.471428571429,95.5965430735948,2948.233333333333,91.5537430102978
2014-09-02,2784.2000000000003,0,1,2,9,3,245,36,2014,0.7818314824680298,0.6234898018587336,-0.8786374941610001,-0.4774894280028391,-1.0,-1.8369701987210297e-16,2796.6000000000004,3051.3,2920.6000000000004,2613.5999999999995,2927.3142857142857,108.11506877045458,2943.686666666667,96.24030912551642
2014-09-03,2777.4,0,2,3,9,3,246,36,2014,0.9749279121818236,-0.22252093395631434,-0.886721063082993,-0.46230483047981086,-1.0,-1.8369701987210297e-16,2784.2000000000003,3076.8000000000006,2834.9,2622.3000000000006,2884.542857142857,97.85683176871642,2941.77,99.01414462695287
2014-09-04,2795.4,0,3,4,9,3,247,36,2014,0.43388373911755823,-0.900968867902419,-0.8945422369764496,-0.4469834295196741,-1.0,-1.8369701987210297e-16,2777.4,3019.9,2881.1000000000004,2578.6,2852.471428571429,81.52771950459488,2938.9133333333334,102.01567423798231
2014-09-05,2798.588888888889,1,4,5,9,3,248,36,2014,-0.433883739117558,-0.9009688679024191,-0.9020987014301837,-0.43152975897147144,-1.0,-1.8369701987210297e-16,2795.4,2964.4,2833.3,2653.3,2828.784126984127,66.24238254433796,2937.7562962962966,103.44169562281762
2014-09-06,2801.777777777778,1,5,6,9,3,249,36,2014,-0.9749279121818236,-0.2225209339563146,-0.9093882203647925,-0.4159483918249421,-1.0,-1.8369701987210297e-16,2798.588888888889,2913.3,2879.600000000001,2621.9,2812.852380952381,54.98179373723135,2935.162222222222,105.8970667264827
2014-09-07,2804.9666666666667,1,6,7,9,3,250,36,2014,-0.7818314824680299,0.6234898018587334,-0.9164086366943458,-0.4002439388573056,-1.0,-1.8369701987210297e-16,2801.777777777778,2935.999999999999,2909.8,2651.7,2794.1333333333337,9.84898524154033,2931.667777777778,108.46146298110264
2014-09-10,2814.5333333333333,1,2,10,9,3,253,37,2014,0.9749279121818236,-0.22252093395631434,-0.9358348973349941,-0.35243871088460327,-1.0,-1.8369701987210297e-16,2804.9666666666667,2796.6000000000004,2917.2000000000003,2726.8,2796.6952380952384,12.557515181627105,2928.2455555555557,110.5335949775803
2014-09-11,2817.722222222222,1,3,11,9,3,254,37,2014,0.43388373911755823,-0.900968867902419,-0.9417589340994617,-0.33628873017668287,-1.0,-1.8369701987210297e-16,2814.5333333333333,2784.2000000000003,2841.3500000000004,2835.8,2801.484126984127,13.364230954991424,2927.4579629629634,111.25592638448222
2014-09-12,2820.911111111111,1,4,12,9,3,255,37,2014,-0.433883739117558,-0.9009688679024191,-0.9474042892438845,-0.32003923622313857,-1.0,-1.8369701987210297e-16,2817.722222222222,2777.4,2765.5000000000005,2618.0000000000005,2807.7000000000003,9.98765081110179,2929.3050000000003,108.90965205513604
2014-09-13,2824.1,0,5,13,9,3,256,37,2014,-0.9749279121818236,-0.2225209339563146,-0.9527692922168511,-0.30369503751065885,-1.0,-1.8369701987210297e-16,2820.911111111111,2795.4,2837.7,2723.5000000000005,2811.7999999999997,9.987650811104956,2928.851666666667,109.33159111856884
2014-09-14,2747.3,0,6,14,9,3,257,37,2014,-0.7818314824680299,0.6234898018587334,-0.9578523554276669,-0.28726097055059635,-1.0,-1.8369701987210297e-16,2824.1,2798.588888888889,2905.0,2829.000000000001,2804.473015873016,26.484091705452915,2923.5950000000003,114.20061552650606
2014-09-15,2828.6000000000004,0,0,15,9,3,258,38,2014,0.0,1.0,-0.9626519747161487,-0.2707418984477642,-1.0,-1.8369701987210297e-16,2747.3,2801.777777777778,2972.2999999999997,2934.500000000001,2808.304761904762,27.930013103853316,2918.8050000000003,115.09743803319542
2014-09-16,2882.1000000000004,0,1,16,9,3,259,38,2014,0.7818314824680298,0.6234898018587336,-0.9671667297977312,-0.2541427094613622,-1.0,-1.8369701987210297e-16,2828.6000000000004,2804.9666666666667,2991.2,2893.2,2819.3238095238094,39.29625131525039,2915.1683333333335,114.45291874662414
2014-09-17,2909.9000000000005,0,2,17,9,3,260,38,2014,0.9749279121818236,-0.22252093395631434,-0.97139528468375,-0.23746831555846842,-1.0,-1.8369701987210297e-16,2882.1000000000004,2814.5333333333333,2977.625,2886.1000000000004,2832.9476190476194,51.876475918039326,2912.910833333334,113.84482460887185
2014-09-18,2964.8,0,3,18,9,3,261,38,2014,0.43388373911755823,-0.900968867902419,-0.9753363880767837,-0.2207236509605022,-1.0,-1.8369701987210297e-16,2909.9000000000005,2817.722222222222,2964.05,2894.75,2853.9587301587303,70.95771351716941,2912.9358333333334,113.85652361430651
2014-09-19,3038.399999999999,0,4,19,9,3,262,38,2014,-0.433883739117558,-0.9009688679024191,-0.9789888737409319,-0.20391367068311472,-1.0,-1.8369701987210297e-16,2964.8,2820.911111111111,2950.475000000001,2903.4,2885.0285714285715,96.93560945779267,2915.866666666667,115.96823371212908
2014-09-20,3002.0,0,5,20,9,3,263,38,2014,-0.9749279121818236,-0.2225209339563146,-0.9823516608469237,-0.18704334906991657,-1.0,-1.8369701987210297e-16,3038.399999999999,2824.1,2936.900000000001,2833.3,2910.4428571428575,101.51181962614604,2918.036666666667,116.9800437856992
2014-09-21,3005.75,1,6,21,9,3,264,38,2014,-0.7818314824680299,0.6234898018587334,-0.9854237542919524,-0.17011767832049052,-1.0,-1.8369701987210297e-16,3002.0,2747.3,3004.7000000000003,2932.6,2947.3642857142863,76.10673817238721,2918.071666666667,117.00702122006932
2014-09-22,3009.4999999999995,0,0,22,9,3,265,39,2014,0.0,1.0,-0.9882042449941422,-0.15314166701312007,-1.0,-1.8369701987210297e-16,3005.75,2828.6000000000004,3020.9999999999995,2969.2999999999997,2973.2071428571426,57.49540871941072,2917.6883333333335,116.67655519441396
2014-09-23,3032.8,0,1,23,9,3,266,39,2014,0.7818314824680298,0.6234898018587336,-0.9906923101615609,-0.13612033862266704,-1.0,-1.8369701987210297e-16,3009.4999999999995,2882.1000000000004,3086.100000000001,2997.499999999998,2994.7357142857145,44.423667812413115,2915.911666666667,114.40741587806792
2014-09-24,3061.0,0,2,24,9,3,267,39,2014,0.9749279121818236,-0.22252093395631434,-0.9928872135356962,-0.11905873003404988,-1.0,-1.8369701987210297e-16,3032.8,2909.9000000000005,3103.5,3040.3,3016.3214285714284,31.01889017392829,2914.4950000000003,112.2472149661955
2014-09-25,3060.6200000000003,1,3,25,9,3,268,39,2014,0.43388373911755823,-0.900968867902419,-0.994788305609327,-0.10196189005174576,-1.0,-1.8369701987210297e-16,3061.0,2964.8,3086.1,3038.6,3030.0099999999998,25.064238135971863,2913.645666666667,110.99336409940952
2014-09-26,3060.2400000000002,1,4,26,9,3,269,39,2014,-0.433883739117558,-0.9009688679024191,-0.9963950238187231,-0.08483487790576538,-1.0,-1.8369701987210297e-16,3060.6200000000003,3038.399999999999,3068.7000000000003,2993.1000000000004,3033.13,27.521555794263335,2913.3636666666666,110.59586977213847
2014-09-27,3059.8600000000006,1,5,27,9,3,270,39,2014,-0.9749279121818236,-0.2225209339563146,-0.9977068927101168,-0.06768276175455162,-1.0,-1.8369701987210297e-16,3060.2400000000002,3002.0,3051.3,2903.4,3041.3957142857143,25.205085371308492,2913.6490000000003,110.97440635078293
2014-09-28,3059.4800000000005,1,6,28,9,3,271,39,2014,-0.7818314824680299,0.6234898018587334,-0.9987235240803972,-0.050510617185222886,-1.0,-1.8369701987210297e-16,3059.8600000000006,3005.75,3076.8000000000006,2892.1,3049.0714285714284,20.231107589287525,2913.071666666667,110.13826411238873
2014-09-29,3059.100000000001,0,0,29,9,3,272,40,2014,0.0,1.0,-0.9994446170919858,-0.033323525711631344,-1.0,-1.8369701987210297e-16,3059.4800000000005,3009.4999999999995,3019.9,2974.9,3056.1571428571433,10.31995754900264,2914.3783333333336,111.671229189021
2014-09-30,3077.5,0,1,30,9,3,273,40,2014,0.7818314824680298,0.6234898018587336,-0.9998699583618592,-0.016126573270657762,-1.0,-1.8369701987210297e-16,3059.100000000001,3032.8,2964.4,2991.100000000001,3062.5428571428574,6.627331575626134,2918.1483333333335,115.26933429402145
2014-10-01,3059.3,0,2,1,10,4,274,40,2014,0.9749279121818236,-0.22252093395631434,-0.9999994220246925,0.001075151282798226,-0.8660254037844386,0.5000000000000001,3077.5,3061.0,2913.3,3011.2000000000003,3062.3,6.723739039435679,2923.015,118.10476307402165
2014-10-02,3025.9500000000007,1,3,2,10,4,275,40,2014,0.43388373911755823,-0.900968867902419,-0.999832969770105,0.018276557681691223,-0.8660254037844386,0.5000000000000001,3059.3,3060.6200000000003,2935.999999999999,2989.9,3057.3471428571434,15.37333483058351,2926.013333333334,119.57837145556968
2014-10-03,2992.600000000001,0,4,3,10,4,276,40,2014,-0.433883739117558,-0.9009688679024191,-0.9993706508539969,0.03547255575312556,-0.8660254037844386,0.5000000000000001,3025.9500000000007,3060.2400000000002,2796.6000000000004,2998.0,3047.684285714286,28.717778382766628,2932.546666666667,117.60190895105292
2014-10-04,3044.1000000000004,0,5,4,10,4,277,40,2014,-0.9749279121818236,-0.2225209339563146,-0.9986126020839734,0.052658056924614005,-0.8660254037844386,0.5000000000000001,2992.600000000001,3059.8600000000006,2784.2000000000003,2865.6000000000004,3045.4328571428573,28.217551697712977,2941.21,115.85690832799989
2014-10-05,3059.7000000000003,0,6,5,10,4,278,40,2014,-0.7818314824680299,0.6234898018587334,-0.9975590477788613,0.06982797572987089,-0.8660254037844386,0.5000000000000001,3044.1000000000004,3059.4800000000005,2777.4,2845.1,3045.4642857142862,28.235921481480677,2950.6200000000003,113.5343779035376
2014-10-06,3096.2,0,0,6,10,4,279,41,2014,0.0,1.0,-0.9962102997023297,0.0869772313136861,-0.8660254037844386,0.5000000000000001,3059.7000000000003,3059.100000000001,2795.4,2881.7000000000003,3050.764285714286,34.095829587234135,2960.6466666666665,112.63242943906344
2014-10-07,3062.499999999999,0,1,7,10,4,280,41,2014,0.7818314824680298,0.6234898018587336,-0.9945667569706337,0.1041007489354256,-0.8660254037844386,0.5000000000000001,3096.2,3077.5,2798.588888888889,2897.9,3048.621428571428,32.57283962070202,2969.4437037037037,109.80949067596532
2014-10-08,2992.1,0,2,8,10,4,281,41,2014,0.9749279121818236,-0.22252093395631434,-0.9926289059345095,0.121193461470736,-0.8660254037844386,0.5000000000000001,3062.499999999999,3059.3,2801.777777777778,2934.3,3039.0214285714287,38.30025954162579,2975.787777777778,105.18942352145099
2014-10-09,3004.4,0,3,9,10,4,282,41,2014,0.43388373911755823,-0.900968867902419,-0.9903973200352558,0.1382503109109819,-0.8660254037844386,0.5000000000000001,2992.1,3025.9500000000007,2804.9666666666667,2920.0,3035.942857142857,40.337941492012405,2982.4355555555553,100.20541808261852
2014-10-10,3013.7999999999997,0,4,10,10,4,283,41,2014,-0.433883739117558,-0.9009688679024191,-0.9878726596350429,0.15526624985999563,-0.8660254037844386,0.5000000000000001,3004.4,2992.600000000001,2814.5333333333333,2813.5000000000005,3038.971428571429,37.21647100799924,2989.077777777778,95.16983860934347
2014-10-11,2967.45,1,5,11,10,4,284,41,2014,-0.9749279121818236,-0.2225209339563146,-0.9850556718215013,0.172236243027682,-0.8660254037844386,0.5000000000000001,3013.7999999999997,3044.1000000000004,2817.722222222222,2719.8,3028.0214285714283,45.753122453982876,2994.0687037037037,89.63900808642676
2014-10-12,2921.1,1,6,12,10,4,285,41,2014,-0.7818314824680299,0.6234898018587334,-0.981947190186646,0.18915526872004093,-0.8660254037844386,0.5000000000000001,2967.45,3059.7000000000003,2820.911111111111,2801.3000000000006,3008.2214285714285,58.086816183097675,2997.4083333333333,84.69533379172911
2014-10-13,2874.75,1,0,13,10,4,286,42,2014,0.0,1.0,-0.9785481345802031,0.20601832032517084,-0.8660254037844386,0.5000000000000001,2921.1,3096.2,2824.1,2848.2,2976.585714285714,62.33395753445908,2999.096666666667,81.56855835825554
2014-10-14,2828.4,0,1,14,10,4,287,42,2014,0.7818314824680298,0.6234898018587336,-0.9748595108374125,0.22282040779479959,-0.8660254037844386,0.5000000000000001,2874.75,3062.499999999999,2747.3,2817.6000000000004,2943.1428571428573,70.78359289985382,3001.8,73.92120968558203
2014-10-15,2831.1,0,2,15,10,4,288,42,2014,0.9749279121818236,-0.22252093395631434,-0.9708824104813836,0.23955655912092708,-0.8660254037844386,0.5000000000000001,2828.4,2992.1,2828.6000000000004,2794.5750000000003,2920.1428571428573,78.01250128758448,3001.883333333333,73.72036018460307
2014-10-16,2868.0,0,3,16,10,4,289,42,2014,0.43388373911755823,-0.900968867902419,-0.9666180104000972,0.2562218218071163,-0.8660254037844386,0.5000000000000001,2831.1,3004.4,2882.1000000000004,2771.55,2900.6571428571433,70.09215617417678,3001.4133333333334,74.55063696082584
2014-10-17,2873.6,0,4,17,10,4,290,42,2014,-0.433883739117558,-0.9009688679024191,-0.9620675724981452,0.27281126433401914,-0.8660254037844386,0.5000000000000001,2868.0,3013.7999999999997,2909.9000000000005,2748.525,2880.628571428572,49.32923285728112,3000.203333333333,76.35980204149679
2014-10-18,2824.0,0,5,18,10,4,291,42,2014,-0.9749279121818236,-0.2225209339563146,-0.957232443323312,0.28931997761869527,-0.8660254037844386,0.5000000000000001,2873.6,2967.45,2964.8,2725.5,2860.1357142857146,34.95085495244306,2995.51,82.67659448636316
2014-10-19,2759.7000000000003,0,6,19,10,4,292,42,2014,-0.7818314824680299,0.6234898018587334,-0.9521140536681102,0.3057430764672831,-0.8660254037844386,0.5000000000000001,2824.0,2921.1,3038.399999999999,2801.8000000000006,2837.078571428571,40.78120336160718,2986.2200000000003,92.73708479649417
2014-10-20,2838.499999999999,0,0,20,10,4,293,43,2014,0.0,1.0,-0.9467139181463862,0.3220757010206104,-0.8660254037844386,0.5000000000000001,2759.7000000000003,2874.75,3002.0,2817.4,2831.9,37.358176258149854,2980.77,96.50548581870287
2014-10-21,2876.5999999999995,0,1,21,10,4,294,43,2014,0.7818314824680298,0.6234898018587336,-0.9410336347451197,0.3383130181923076,-0.8660254037844386,0.5000000000000001,2838.499999999999,2828.4,3005.75,2730.3,2838.785714285714,40.88143134203048,2976.4649999999997,98.218151414297
2014-10-22,2812.5599999999995,1,2,22,10,4,295,43,2014,0.9749279121818236,-0.22252093395631434,-0.9350748843515574,0.3544502230989869,-0.8660254037844386,0.5000000000000001,2876.5999999999995,2831.1,3009.4999999999995,2766.8,2836.1371428571424,42.04632751078926,2969.900333333333,102.4254220020558
